FP,f1,probability,kernel,classifier_arguments,FN,class_weight,TP,TN,random_state,coef0,accuracy,C,degree,batch_num,timestamp,log_loss,target,rocNOT50,roc50,classifier,gamma
0,0.0,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 1168181, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,150,1168181,0,0.9433962264150944,0.3,2,9093,2018-07-20 13:12,1.0380253754386353,0.0,0.8148148148148149,0.8148148148148149,SVC,0.02
2,0.3597122302158273,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 1311323, 'coef0': 0.5, 'gamma': 0.7, 'class_weight': 'balanced'}",7,balanced,2,148,1311323,0.5,0.9433962264150944,1,2,2672,2018-07-20 13:13,0.843356852801626,0.3597122302158273,0.9614814814814814,0.9614814814814814,SVC,0.7
0,0.2222222222222222,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 9379350, 'coef0': 0.1, 'gamma': 0.7, 'class_weight': 'balanced'}",7,balanced,1,150,9379350,0.1,0.9556962025316456,1,2,2672,2018-07-20 13:13,0.6957089450249708,0.2222222222222222,0.9766666666666667,0.9766666666666667,SVC,0.7
4,0.2170767004341534,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 5862457, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",7,balanced,1,146,5862457,0.5,0.930379746835443,0.3,2,2672,2018-07-20 13:13,0.9404809345982575,0.2170767004341534,0.9091666666666667,0.9091666666666667,SVC,0.2
1,0.22091310751104565,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 572970, 'coef0': 0.5, 'gamma': 0.02, 'class_weight': 'balanced'}",7,balanced,1,149,572970,0.5,0.9493670886075949,1,2,2672,2018-07-20 13:14,1.0736323544207134,0.22091310751104565,0.9466666666666668,0.9466666666666668,SVC,0.02
1,0.663716814159292,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 6262818, 'coef0': 0.1, 'gamma': 0.2, 'class_weight': 'balanced'}",4,balanced,4,149,6262818,0.1,0.9683544303797469,0.3,2,2672,2018-07-20 13:14,0.5764977686552406,0.663716814159292,0.9479166666666666,0.9479166666666666,SVC,0.2
5,0.6015037593984962,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 8176597, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,4,145,8176597,,0.9371069182389937,1,,2672,2018-07-20 13:14,1.2122532459409308,0.6015037593984962,0.7614814814814814,0.7614814814814814,SVC,0.02
7,0.21337126600284495,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 4238630, 'gamma': 0.2, 'class_weight': 'balanced'}",7,balanced,1,143,4238630,,0.9113924050632911,0.5,,2672,2018-07-20 13:14,0.9636237238170952,0.21337126600284495,0.9054166666666668,0.9054166666666668,SVC,0.2
1,0.5428226779252111,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 3108433, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,3,149,3108433,,0.9620253164556962,0.5,,2672,2018-07-20 13:14,0.7051710825662075,0.5428226779252111,0.9533333333333334,0.9533333333333334,SVC,0.02
0,0.4,True,rbf,"{'kernel': 'rbf', 'C': 0.1, 'probability': True, 'random_state': 7144702, 'gamma': 0.2, 'class_weight': 'balanced'}",6,balanced,2,150,7144702,,0.9620253164556962,0.1,,2672,2018-07-20 13:14,0.8615611847807934,0.4,0.9741666666666666,0.9741666666666666,SVC,0.2
1,0.5428226779252111,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 9394974, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,3,149,9394974,,0.9620253164556962,0.5,,2672,2018-07-20 13:14,0.7063070231298764,0.5428226779252111,0.9616666666666667,0.9616666666666667,SVC,0.02
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 1242520, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,150,1242520,0,0.9433962264150944,1,,2672,2018-07-20 13:14,1.7608710937067356,0.0,0.47518518518518515,0.47518518518518515,SVC,0.02
1,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 9284629, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,149,9284629,0,0.9430379746835443,1,,2672,2018-07-20 13:14,1.7298368625592877,0.0,0.57125,0.57125,SVC,0.02
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 6766256, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,6766256,0,0.9493670886075949,1,,2672,2018-07-20 13:14,1.497959145639839,0.0,0.8716666666666667,0.8716666666666667,SVC,0.02
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 1834794, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,1834794,0,0.9493670886075949,1,,2672,2018-07-20 13:14,1.574168682944503,0.0,0.24250000000000002,0.24250000000000002,SVC,0.02
