FP,log_loss,solver,timestamp,hidden_layer_sizes,MCC,TP,TN,random_state,classifier,FN,accuracy,C
14,0.07069655571212709,lbfgs,2018-07-11 19:09:08.683000,90,0.2992696070245993,7,763,2555623,MLPClassifier,16,0.9625,
0,0.08690214283691888,lbfgs,2018-07-11 19:09:08.683000,10,0.0,0,777,5218019,MLPClassifier,23,0.97125,
3,0.06696402784680638,lbfgs,2018-07-11 19:09:08.683000,90,0.2451502253358466,3,774,3230199,MLPClassifier,20,0.97125,
0,0.07758502078787734,lbfgs,2018-07-11 19:09:08.683000,20,0.0,0,777,9017947,MLPClassifier,23,0.97125,
0,0.10897220576344477,lbfgs,2018-07-11 19:09:08.683000,80,0.0,0,777,6412881,MLPClassifier,23,0.97125,
0,0.12609772456859802,newton-cg,2018-07-11 19:09:31.830000,,0.0,0,777,3950789,LogisticRegression,23,0.97125,0.3
0,0.12294930524817041,newton-cg,2018-07-11 19:09:31.830000,,0.0,0,777,1335462,LogisticRegression,23,0.97125,0.3
0,0.12162562104592953,newton-cg,2018-07-11 19:09:31.830000,,0.0,0,777,3890383,LogisticRegression,23,0.97125,0.3
0,0.1262989102195873,newton-cg,2018-07-11 19:09:31.830000,,0.0,0,777,7819097,LogisticRegression,23,0.97125,0.3
0,0.11761721283186566,newton-cg,2018-07-11 19:09:31.830000,,0.0,0,777,9179163,LogisticRegression,23,0.97125,0.3
0,0.12448705304721411,lbfgs,2018-07-11 19:09:47.675000,,0.0,0,777,2161295,LogisticRegression,23,0.97125,0.3
0,0.1262674495183541,lbfgs,2018-07-11 19:09:47.675000,,0.0,0,777,7444878,LogisticRegression,23,0.97125,0.3
0,0.12068335758112499,lbfgs,2018-07-11 19:09:47.675000,,0.0,0,777,3521972,LogisticRegression,23,0.97125,0.3
0,0.12497372626659635,lbfgs,2018-07-11 19:09:47.675000,,0.0,0,777,1911463,LogisticRegression,23,0.97125,0.3
0,0.11807249139565591,lbfgs,2018-07-11 19:09:47.675000,,0.0,0,777,1479955,LogisticRegression,23,0.97125,0.3
0,0.12446661147136007,liblinear,2018-07-11 19:10:00.249000,,0.0,0,777,8352929,LogisticRegression,23,0.97125,0.3
0,0.12137254238173668,liblinear,2018-07-11 19:10:00.249000,,0.0,0,777,6807201,LogisticRegression,23,0.97125,0.3
0,0.1219379391876896,liblinear,2018-07-11 19:10:00.249000,,0.0,0,777,7820862,LogisticRegression,23,0.97125,0.3
0,0.1239692329275597,liblinear,2018-07-11 19:10:00.249000,,0.0,0,777,9953824,LogisticRegression,23,0.97125,0.3
0,0.12695216449711139,liblinear,2018-07-11 19:10:00.249000,,0.0,0,777,8352761,LogisticRegression,23,0.97125,0.3
