FP,log_loss,solver,timestamp,hidden_layer_sizes,MCC,TP,TN,random_state,classifier,FN,accuracy,C
22,0.07896902985958068,lbfgs,2018-07-11 20:00:35.875000,10,0.26355805587109266,14,1984,7147694,MLPClassifier,55,0.9628915662650602,
20,0.08447940162454974,lbfgs,2018-07-11 20:00:35.875000,10,0.3047216430847525,16,1985,6973046,MLPClassifier,53,0.9648023143683703,
13,0.07207227694003578,lbfgs,2018-07-11 20:00:35.875000,10,0.3759754825709678,18,1992,8301601,MLPClassifier,51,0.9691417550626809,
17,0.07819859900637237,lbfgs,2018-07-11 20:00:35.875000,80,0.35140873613690077,18,1988,8286886,MLPClassifier,51,0.9672131147540983,
0,0.058618485204489944,lbfgs,2018-07-11 20:00:35.875000,10,0.0,0,2005,5323236,MLPClassifier,69,0.9667309546769528,
3,0.11290289353297334,newton-cg,2018-07-11 20:01:13.001000,,0.1005297208239801,2,2003,2239609,LogisticRegression,67,0.9662650602409638,0.3
0,0.10398616933714674,newton-cg,2018-07-11 20:01:13.001000,,0.205164974712092,3,2005,2062303,LogisticRegression,66,0.9681774349083896,0.3
1,0.11156472448148302,newton-cg,2018-07-11 20:01:13.001000,,-0.00407443792715382,0,2004,5192524,LogisticRegression,69,0.9662487945998072,0.3
0,0.11166959339387711,newton-cg,2018-07-11 20:01:13.001000,,0.0,0,2005,6778685,LogisticRegression,69,0.9667309546769528,0.3
2,0.1065567437827953,newton-cg,2018-07-11 20:01:13.001000,,-0.005763515682169328,0,2003,9818314,LogisticRegression,69,0.9657666345226615,0.3
0,0.1143579003610652,lbfgs,2018-07-11 20:01:44.048000,,0.1183958672135468,1,2006,9202435,LogisticRegression,68,0.9672289156626506,0.3
0,0.10905512603525189,lbfgs,2018-07-11 20:01:44.048000,,0.0,0,2005,2060988,LogisticRegression,69,0.9667309546769528,0.3
2,0.11193974971033184,lbfgs,2018-07-11 20:01:44.048000,,-0.005763515682169328,0,2003,1826342,LogisticRegression,69,0.9657666345226615,0.3
3,0.10733016705479537,lbfgs,2018-07-11 20:01:44.048000,,0.05312424674121083,1,2002,3602635,LogisticRegression,68,0.9657666345226615,0.3
0,0.10398314835771248,lbfgs,2018-07-11 20:01:44.048000,,0.205164974712092,3,2005,8316745,LogisticRegression,66,0.9681774349083896,0.3
0,0.10960033335381958,liblinear,2018-07-11 20:02:06.474000,,0.0,0,2006,6366002,LogisticRegression,69,0.9667469879518072,0.3
0,0.10795891861637187,liblinear,2018-07-11 20:02:06.474000,,0.0,0,2005,8390604,LogisticRegression,69,0.9667309546769528,0.3
0,0.11253469783711473,liblinear,2018-07-11 20:02:06.474000,,0.0,0,2005,6496535,LogisticRegression,69,0.9667309546769528,0.3
0,0.10715985726520576,liblinear,2018-07-11 20:02:06.474000,,0.0,0,2005,4870495,LogisticRegression,69,0.9667309546769528,0.3
0,0.11831052565421299,liblinear,2018-07-11 20:02:06.474000,,0.0,0,2005,491758,LogisticRegression,69,0.9667309546769528,0.3
