FP,f1,probability,kernel,classifier_arguments,FN,class_weight,TP,TN,random_state,coef0,accuracy,C,degree,batch_num,timestamp,log_loss,target,rocNOT50,roc50,classifier,gamma,bedroc,TNR,TPR,bagging,cv1_folds,cv2_folds,sample,criterion,max_depth,n_estimators,n_jobs
2,0.495049504950495,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 677729, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",6,balanced,3,148,677729,0.5,0.949685534591195,0.3,2,1081,2018-07-23 16:18,0.7456763151576431,0.495049504950495,0.9555555555555556,0.9555555555555556,SVC,0.2,,,,,,,,,,,
0,0.2,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 201740, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",8,balanced,1,150,201740,0.5,0.949685534591195,0.3,2,755,2018-07-23 16:37,0.9884865813101885,0.2,0.9503703703703703,0.9503703703703703,SVC,0.2,,,,,,,,,,,
0,0.0,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 5754578, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,150,5754578,0,0.9433962264150944,0.3,2,4206,2018-07-23 18:58,1.4854354391758753,0.0,0.6511111111111112,0.6511111111111112,SVC,0.02,0.2108175182048406,,,,,,,,,,
0,0.0,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 1887801, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,150,1887801,0,0.9433962264150944,0.3,2,1930,2018-07-23 19:18,1.432182210808049,0.0,0.7185185185185186,0.7185185185185186,SVC,0.02,0.2894395374855906,,,,,,,,,,
2,0.39577836411609496,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 9656536, 'coef0': 0.1, 'gamma': 0.2, 'class_weight': 'balanced'}",6,balanced,2,148,9656536,0.1,0.9493670886075949,0.3,2,1930,2018-07-23 19:19,0.728804343516807,0.39577836411609496,0.9341666666666667,0.9341666666666667,SVC,0.2,4.128120898869995e-08,,,,,,,,,,
0,0.6666666666666666,True,poly,"{'kernel': 'poly', 'C': 0.3, 'probability': True, 'degree': 2, 'random_state': 8454297, 'coef0': 0.5, 'gamma': 0.2, 'class_weight': 'balanced'}",4,balanced,4,150,8454297,0.5,0.9746835443037974,0.3,2,1930,2018-07-23 19:19,0.5800903971191737,0.6666666666666666,0.98,0.98,SVC,0.2,1.0094542480808467e-08,,,,,,,,,,
3,0.39370078740157477,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 2737546, 'coef0': 0.5, 'gamma': 0.7, 'class_weight': 'balanced'}",6,balanced,2,147,2737546,0.5,0.9430379746835443,1,2,1930,2018-07-23 19:19,0.6901239443579632,0.39370078740157477,0.96125,0.96125,SVC,0.7,1.0262897986612038e-08,,,,,,,,,,
1,0.22091310751104565,True,poly,"{'kernel': 'poly', 'C': 1, 'probability': True, 'degree': 2, 'random_state': 7994231, 'coef0': 0.5, 'gamma': 0.02, 'class_weight': 'balanced'}",7,balanced,1,149,7994231,0.5,0.9493670886075949,1,2,1930,2018-07-23 19:20,1.360404530308762,0.22091310751104565,0.87,0.87,SVC,0.02,1.064339184998171e-06,,,,,,,,,,
2,0.19762845849802374,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 1847030, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,1,148,1847030,,0.9371069182389937,1,,1930,2018-07-23 19:20,0.7953145950828483,0.19762845849802374,0.9070370370370371,0.9070370370370371,SVC,0.02,2.967528570643261e-05,,,,,,,,,,
1,0.663716814159292,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 9608729, 'gamma': 0.02, 'class_weight': 'balanced'}",4,balanced,4,149,9608729,,0.9683544303797469,0.5,,1930,2018-07-23 19:20,0.48997476971090387,0.663716814159292,0.9812500000000001,0.9812500000000001,SVC,0.02,8.550492147313117e-09,,,,,,,,,,
6,0.2145922746781116,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 9909921, 'gamma': 0.2, 'class_weight': 'balanced'}",7,balanced,1,144,9909921,,0.9177215189873418,0.5,,1930,2018-07-23 19:20,1.1313237778672998,0.2145922746781116,0.8854166666666667,0.8854166666666667,SVC,0.2,2.87450398334047e-07,,,,,,,,,,
1,0.3978779840848806,True,rbf,"{'kernel': 'rbf', 'C': 0.5, 'probability': True, 'random_state': 4023613, 'gamma': 0.02, 'class_weight': 'balanced'}",6,balanced,2,149,4023613,,0.9556962025316456,0.5,,1930,2018-07-23 19:20,1.1261391223583128,0.3978779840848806,0.8208333333333333,0.8208333333333333,SVC,0.02,0.0005212684354434358,,,,,,,,,,
0,0.5454545454545454,True,rbf,"{'kernel': 'rbf', 'C': 1, 'probability': True, 'random_state': 7217679, 'gamma': 0.02, 'class_weight': 'balanced'}",5,balanced,3,150,7217679,,0.9683544303797469,1,,1930,2018-07-23 19:20,0.8643897638365097,0.5454545454545454,0.9295833333333333,0.9295833333333333,SVC,0.02,8.777691047382229e-07,,,,,,,,,,
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 8979700, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",9,balanced,0,150,8979700,0,0.9433962264150944,1,,1930,2018-07-23 19:20,1.7083517658020966,0.0,0.5607407407407408,0.5607407407407408,SVC,0.02,0.47048828332759346,,,,,,,,,,
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 4311384, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,4311384,0,0.9493670886075949,1,,1930,2018-07-23 19:20,1.6282305997414395,0.0,0.6325000000000001,0.6325000000000001,SVC,0.02,0.23851931637957471,,,,,,,,,,
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 4261621, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,4261621,0,0.9493670886075949,1,,1930,2018-07-23 19:20,1.6829831697146609,0.0,0.31833333333333336,0.31833333333333336,SVC,0.02,0.5914203249408843,,,,,,,,,,
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 3719220, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,3719220,0,0.9493670886075949,1,,1930,2018-07-23 19:20,1.6200599743838144,0.0,0.48374999999999996,0.48374999999999996,SVC,0.02,0.31381583922969125,,,,,,,,,,
0,0.0,True,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'probability': True, 'random_state': 9973126, 'coef0': 0, 'gamma': 0.02, 'class_weight': 'balanced'}",8,balanced,0,150,9973126,0,0.9493670886075949,1,,1930,2018-07-23 19:20,1.6415296264251242,0.0,0.5525,0.5525,SVC,0.02,0.4048596363039894,,,,,,,,,,
0,0.0,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 6740593, 'probability': True, 'class_weight': 'balanced'}",9,balanced,0,150,6740593,,0.9433962264150944,1,,1930,2018-07-23 19:20,1.4528011145362767,0.0,0.5696296296296297,0.5696296296296297,SVC,,0.3115295840160912,,,,,,,,,,
0,0.0,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 9186677, 'probability': True, 'class_weight': 'balanced'}",8,balanced,0,150,9186677,,0.9493670886075949,1,,1930,2018-07-23 19:20,1.5237052610507154,0.0,0.25166666666666665,0.25166666666666665,SVC,,0.6354418282801332,,,,,,,,,,
0,0.0,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 2412644, 'probability': True, 'class_weight': 'balanced'}",8,balanced,0,150,2412644,,0.9493670886075949,1,,1930,2018-07-23 19:20,1.5132638340451625,0.0,0.47,0.47,SVC,,0.5245884608841105,,,,,,,,,,
0,0.0,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 2441675, 'probability': True, 'class_weight': 'balanced'}",8,balanced,0,150,2441675,,0.9493670886075949,1,,1930,2018-07-23 19:20,1.468403231378582,0.0,0.44458333333333333,0.44458333333333333,SVC,,0.4983328043018314,,,,,,,,,,
0,0.0,True,linear,"{'kernel': 'linear', 'C': 1, 'random_state': 6949505, 'probability': True, 'class_weight': 'balanced'}",8,balanced,0,150,6949505,,0.9493670886075949,1,,1930,2018-07-23 19:20,1.5443613424136557,0.0,0.35791666666666666,0.35791666666666666,SVC,,0.3698980084416536,,,,,,,,,,
2,0.3597122302158273,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 7143702, 'coef0': 0.5, 'class_weight': 'balanced'}",7,balanced,2,148,7143702,0.5,0.9433962264150944,1,2,5708,12:11 07-25,0.8100171265369348,f1,0.9748148148148148,0.9748148148148148,SVC,,6.339353119244955e-09,0.9866666666666667,0.2222222222222222,False,5,5,False,,,,
1,0.5428226779252111,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 4396731, 'coef0': 0.5, 'class_weight': 'balanced'}",5,balanced,3,149,4396731,0.5,0.9620253164556962,1,2,5708,12:11 07-25,0.9464314830813316,f1,0.9354166666666667,0.9354166666666667,SVC,,9.790331018123564e-08,0.9933333333333333,0.375,False,5,5,False,,,,
2,0.21961932650073204,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 8351721, 'coef0': 0.5, 'class_weight': 'balanced'}",7,balanced,1,148,8351721,0.5,0.9430379746835443,1,2,5708,12:11 07-25,1.3479943787866993,f1,0.855,0.855,SVC,,2.726606857899483e-06,0.9866666666666667,0.125,False,5,5,False,,,,
0,0.4,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 1243076, 'coef0': 0.5, 'class_weight': 'balanced'}",6,balanced,2,150,1243076,0.5,0.9620253164556962,1,2,5708,12:11 07-25,0.9694100698785826,f1,0.9233333333333333,0.9233333333333333,SVC,,1.4516675381411788e-06,1.0,0.25,False,5,5,False,,,,
0,0.5454545454545454,True,poly,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 1192250, 'coef0': 0.5, 'class_weight': 'balanced'}",5,balanced,3,150,1192250,0.5,0.9683544303797469,1,2,5708,12:11 07-25,0.8440430760353107,f1,0.9225,0.9225,SVC,,3.826397018680421e-07,1.0,0.375,False,5,5,False,,,,
