FN,FP,TN,TP,accuracy,bagging,batch_num,bedroc,class_weight,classifier,classifier_arguments,criterion,cv1_folds,cv2_folds,f1,log_loss,max_depth,n_estimators,n_jobs,random_state,roc50,rocNOT50,sample,target,timestamp,TNR,TPR,C,coef0,degree,kernel,probability,gamma
7,7,143,10,0.916167665,FALSE,3515,2.51E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 41, 'random_state': 5216342, 'criterion': 'gini', 'max_depth': 21, 'class_weight': 'balanced_subsample'}",gini,5,5,0.719597026,0.526384702,21,41,-1,5216342,0.93372549,0.93372549,FALSE,roc50,07-24 Jul:43,,,,,,,,
10,8,142,7,0.892215569,FALSE,3515,1.93E-06,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 41, 'random_state': 859776, 'criterion': 'entropy', 'max_depth': 21, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.562098501,1.479688565,21,41,-1,859776,0.905098039,0.905098039,FALSE,roc50,07-24 Jul:45,,,,,,,,
5,8,142,12,0.922155689,FALSE,3515,2.52E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 41, 'random_state': 8667108, 'criterion': 'entropy', 'max_depth': 61, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.802496656,0.415054346,61,41,-1,8667108,0.943333333,0.943333333,FALSE,roc50,07-24 Jul:46,,,,,,,,
9,6,144,8,0.910179641,FALSE,3515,5.72E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 41, 'random_state': 3660179, 'criterion': 'gini', 'max_depth': 21, 'class_weight': 'balanced_subsample'}",gini,5,5,0.62305296,0.524422837,21,41,-1,3660179,0.945686275,0.945686275,FALSE,roc50,07-24 Jul:48,,,,,,,,
9,4,146,7,0.921686747,FALSE,3515,6.00E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 61, 'random_state': 2677646, 'criterion': 'entropy', 'max_depth': 61, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.597609562,0.558000846,61,61,-1,2677646,0.943541667,0.943541667,FALSE,roc50,07-24 Jul:50,,,,,,,,
8,6,144,9,0.916167665,FALSE,1967,1.61E-05,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 100, 'random_state': 6760123, 'criterion': 'entropy', 'max_depth': 40, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.674662669,2.562731045,40,100,-1,6760123,0.84254902,0.84254902,FALSE,bedroc,07-24 Jul:56,,,,,,,,
7,6,144,10,0.922155689,FALSE,3881,1.46E-05,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 100, 'random_state': 3426308, 'criterion': 'gini', 'max_depth': 60, 'class_weight': 'balanced_subsample'}",gini,5,5,0.722543353,1.612201118,60,100,-1,3426308,0.900588235,0.900588235,FALSE,bedroc,07-24 Jul:00,0.96,0.588235294,,,,,,
6,5,145,11,0.934131737,FALSE,3881,7.49E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 60, 'random_state': 9867091, 'criterion': 'entropy', 'max_depth': 100, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.770128355,0.450886844,100,60,-1,9867091,0.957254902,0.957254902,FALSE,bedroc,07-24 Jul:03,0.966666667,0.647058824,,,,,,
8,5,145,9,0.922155689,FALSE,3881,7.56E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 80, 'random_state': 3873120, 'criterion': 'entropy', 'max_depth': 60, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.677540778,0.634098275,60,80,-1,3873120,0.939411765,0.939411765,FALSE,bedroc,07-24 Jul:05,0.966666667,0.529411765,,,,,,
10,7,143,7,0.898203593,FALSE,3881,1.03E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 60, 'random_state': 2210029, 'criterion': 'entropy', 'max_depth': 60, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.564667921,0.480299078,60,60,-1,2210029,0.942156863,0.942156863,FALSE,bedroc,07-24 Jul:08,0.953333333,0.411764706,,,,,,
9,5,145,7,0.915662651,FALSE,3881,4.65E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 80, 'random_state': 9020122, 'criterion': 'gini', 'max_depth': 100, 'class_weight': 'balanced_subsample'}",gini,5,5,0.59490085,0.474409226,100,80,-1,9020122,0.9525,0.9525,FALSE,bedroc,07-24 Jul:10,0.966666667,0.4375,,,,,,
9,2,148,8,0.934131737,FALSE,9816,5.92E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 60, 'random_state': 9846770, 'criterion': 'gini', 'max_depth': 100, 'class_weight': 'balanced_subsample'}",gini,5,5,0.634249471,0.484076612,100,60,-1,9846770,0.957254902,0.957254902,FALSE,roc50,7/24/18 6:15,0.986666667,0.470588235,,,,,,
9,5,145,8,0.916167665,FALSE,9816,1.36E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 100, 'random_state': 2347862, 'criterion': 'gini', 'max_depth': 40, 'class_weight': 'balanced_subsample'}",gini,5,5,0.625814863,0.521101906,40,100,-1,2347862,0.946470588,0.946470588,FALSE,roc50,7/24/18 6:17,0.966666667,0.470588235,,,,,,
9,4,146,8,0.922155689,FALSE,9816,3.57E-06,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 100, 'random_state': 6592267, 'criterion': 'gini', 'max_depth': None, 'class_weight': 'balanced_subsample'}",gini,5,5,0.628601362,0.79340831,,100,-1,6592267,0.903921569,0.903921569,FALSE,roc50,7/24/18 6:20,0.973333333,0.470588235,,,,,,
8,10,140,9,0.892215569,FALSE,9816,2.82E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 1341315, 'criterion': 'entropy', 'max_depth': None, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.663390663,0.640853872,,20,-1,1341315,0.912352941,0.912352941,FALSE,roc50,7/24/18 6:22,0.933333333,0.529411765,,,,,,
8,8,142,8,0.903614458,FALSE,9816,7.18E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 1014375, 'criterion': 'entropy', 'max_depth': None, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.643776824,1.691195109,,20,-1,1014375,0.891458333,0.891458333,FALSE,roc50,7/24/18 6:25,0.946666667,0.5,,,,,,
4,4,146,13,0.952095808,FALSE,2098,6.68E-08,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 40, 'random_state': 5771603, 'criterion': 'entropy', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",entropy,5,5,0.853765324,0.499671131,20,40,-1,5771603,0.957254902,0.957254902,FALSE,f1,7/24/18 6:28,0.973333333,0.764705882,,,,,,
5,10,140,12,0.910179641,FALSE,13,2.60E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 2583477, 'criterion': 'gini', 'max_depth': 40, 'class_weight': 'balanced_subsample'}",gini,5,5,0.796460177,0.498540121,40,20,-1,2583477,0.935294118,0.935294118,FALSE,f1,7/24/18 6:33,0.933333333,0.705882353,,,,,,
9,5,145,8,0.916167665,FALSE,13,1.68E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 6015883, 'criterion': 'gini', 'max_depth': None, 'class_weight': 'balanced_subsample'}",gini,5,5,0.625814863,0.569017941,,20,-1,6015883,0.94,0.94,FALSE,f1,7/24/18 6:35,0.966666667,0.470588235,,,,,,
12,6,144,5,0.892215569,FALSE,13,2.47E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 3947323, 'criterion': 'gini', 'max_depth': 60, 'class_weight': 'balanced_subsample'}",gini,5,5,0.440917108,1.797962888,60,20,-1,3947323,0.905294118,0.905294118,FALSE,f1,7/24/18 6:38,0.96,0.294117647,,,,,,
8,4,146,9,0.928143713,FALSE,13,1.78E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 6331866, 'criterion': 'gini', 'max_depth': 20, 'class_weight': 'balanced_subsample'}",gini,5,5,0.680443548,1.521218929,20,20,-1,6331866,0.924901961,0.924901961,FALSE,f1,7/24/18 6:40,0.973333333,0.529411765,,,,,,
10,5,145,6,0.909638554,FALSE,13,2.06E-07,balanced_subsample,RandomForestClassifier,"{'n_jobs': -1, 'n_estimators': 20, 'random_state': 7132863, 'criterion': 'gini', 'max_depth': 80, 'class_weight': 'balanced_subsample'}",gini,5,5,0.532544379,1.598744345,80,20,-1,7132863,0.905625,0.905625,FALSE,f1,7/24/18 6:43,0.966666667,0.375,,,,,,
17,0,150,0,0.898203593,FALSE,9546,1.50E-06,balanced,SVC,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 3406901, 'coef0': 0.5, 'class_weight': 'balanced'}",,5,5,0,1.150053593,,,,3406901,0.868823529,0.868823529,FALSE,roc50,7/24/18 6:49,1,0,1,0.5,2,poly,TRUE,
14,3,147,3,0.898203593,FALSE,9546,3.76E-05,balanced,SVC,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 6059462, 'coef0': 0.5, 'class_weight': 'balanced'}",,5,5,0.294985251,1.155699509,,,,6059462,0.751372549,0.751372549,FALSE,roc50,7/24/18 6:49,0.98,0.176470588,1,0.5,2,poly,TRUE,
16,3,147,1,0.886227545,FALSE,9546,2.53E-05,balanced,SVC,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'probability': True, 'random_state': 4689775, 'coef0': 0.5, 'class_weight': 'balanced'}",,5,5,0.109051254,1.111150462,,,,4689775,0.789803922,0.789803922,FALSE,roc50,7/24/18 6:49,0.98,0.058823529,1,0.5,2,poly,TRUE,
