FP,TN,timestamp,TP,classifier,n_estimators,random_state,max_depth,FN,accuracy,log_loss,C,solver,MCC
5,334,2018-07-10 15:29:47.063481,3,RandomForestClassifier,1,9907694,21,6,0.9683908045977011,,,,
3,336,2018-07-10 15:29:47.063481,4,RandomForestClassifier,1,5031328,21,5,0.9770114942528736,,,,
6,333,2018-07-10 15:29:47.063481,3,RandomForestClassifier,21,3925565,41,6,0.9655172413793104,,,,
3,336,2018-07-10 15:29:47.063481,2,RandomForestClassifier,1,3778441,81,7,0.9712643678160919,,,,
2,337,2018-07-10 15:29:47.063481,2,RandomForestClassifier,1,1444495,81,7,0.9741379310344828,,,,
7,332,2018-07-10 15:29:47.063481,3,RandomForestClassifier,1,7812390,21,6,0.9626436781609196,,,,
6,333,2018-07-10 15:29:47.063481,3,RandomForestClassifier,1,5421309,21,6,0.9655172413793104,,,,
7,332,2018-07-10 15:29:47.063481,5,RandomForestClassifier,1,1394015,41,4,0.9683908045977011,,,,
4,335,2018-07-10 15:29:47.063481,2,RandomForestClassifier,1,3614252,81,7,0.9683908045977011,,,,
9,330,2018-07-10 15:29:47.063481,4,RandomForestClassifier,1,2066539,81,5,0.9597701149425287,,,,
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,5827940,,9,0.9741379310344828,0.11378962413146132,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,7124963,,9,0.9741379310344828,0.10859112385113989,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,9630736,,9,0.9741379310344828,0.12716158809991465,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,5512222,,9,0.9741379310344828,0.11682911168675343,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,2437908,,9,0.9741379310344828,0.11178383274955371,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,6134360,,9,0.9741379310344828,0.11245546506623638,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,9304748,,9,0.9741379310344828,0.1256341553915749,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,1540540,,9,0.9741379310344828,0.11519073476767173,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,2763740,,9,0.9741379310344828,0.11673086936885721,0.3,newton-cg,0.0
0,339,2018-07-11 15:06:52.099000,0,LogisticRegression,,3344784,,9,0.9741379310344828,0.11166936697766668,0.3,newton-cg,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,510488,,9,0.9741379310344828,0.11228397160402637,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,8801340,,9,0.9741379310344828,0.1083778848036553,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,6111109,,9,0.9741379310344828,0.11581443745388884,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,2884416,,9,0.9741379310344828,0.11353305668138723,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,6605389,,9,0.9741379310344828,0.12051458238164253,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,5522663,,9,0.9741379310344828,0.11483310721980532,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,1736859,,9,0.9741379310344828,0.11651224682650242,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,8866856,,9,0.9741379310344828,0.1124922294966669,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,532227,,9,0.9741379310344828,0.12063442659470006,0.3,lbfgs,0.0
0,339,2018-07-11 15:07:42.825000,0,LogisticRegression,,9310954,,9,0.9741379310344828,0.12216943409762174,0.3,lbfgs,0.0
