FP,log_loss,n_jobs,target,TN,f1,timestamp,MCC,TP,classifier,n_estimators,random_state,accuracy,max_depth,FN,class_weight,C,solver,roc50
7,0.598421013,-1,0.552507096,139,0.552507096,27:06.4,0.266076345,2,RandomForestClassifier,1,1585370,0.933774834,1,3,balanced_subsample,,,
2,10.65219424,-1,0.329571106,144,0.329571106,27:06.4,0.238883412,1,RandomForestClassifier,21,3569348,0.960264901,21,4,balanced_subsample,,,
2,13.18860811,-1,0.395663957,144,0.395663957,27:06.4,0.271927649,1,RandomForestClassifier,1,3518833,0.966666667,41,3,balanced_subsample,,,
1,5.042996793,-1,0.397805213,144,0.397805213,27:06.4,0.341453407,1,RandomForestClassifier,21,9402289,0.973154362,21,3,balanced_subsample,,,
0,4.580074231,-1,0.4,145,0.4,27:06.4,0.494906489,1,RandomForestClassifier,21,7496074,0.979865772,21,3,balanced_subsample,,,
62,0.080847987,-1,0.987975175,2485,0.987975175,54:05.3,0.716865404,69,RandomForestClassifier,41,8401661,0.976299694,21,0,balanced_subsample,,,
66,0.079726135,-1,0.987209302,2481,0.987209302,54:05.3,0.705596748,69,RandomForestClassifier,21,5463566,0.974770642,21,0,balanced_subsample,,,
73,0.107570443,-1,0.985871879,2474,0.985871879,54:05.3,0.687014255,69,RandomForestClassifier,21,5167532,0.972094801,21,0,balanced_subsample,,,
83,0.090706925,-1,0.983967549,2464,0.983967549,54:05.3,0.662687274,69,RandomForestClassifier,41,860452,0.968272171,41,0,balanced_subsample,,,
61,0.084135024,-1,0.988166828,2486,0.988166828,54:05.3,0.719762074,69,RandomForestClassifier,21,1660995,0.976681957,21,0,balanced_subsample,,,
14,17.673114303834865,-1,0.0,394,0.0,2018-07-18 14:59:27.799002,-0.03310612937052827,0,RandomForestClassifier,1,1302155,0.9358669833729216,81,13,balanced_subsample,,,
16,15.064496756568984,-1,0.25790139064475354,392,0.25790139064475354,2018-07-18 14:59:27.799002,0.09801962709465929,2,RandomForestClassifier,1,1858832,0.9358669833729216,61,11,balanced_subsample,,,
10,6.354347482563425,-1,0.15044247787610618,398,0.15044247787610618,2018-07-18 14:59:27.799002,0.06136401771081205,1,RandomForestClassifier,21,4033717,0.95,81,11,balanced_subsample,,,
11,7.664113089373359,-1,0.15011037527593818,397,0.15011037527593818,2018-07-18 14:59:27.799002,0.056372549019607844,1,RandomForestClassifier,21,4285750,0.9476190476190476,41,11,balanced_subsample,,,
