Compound ID,LXRbeta binder,smiles
6_39,0,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(O)cc1)C(F)(F)F
3_3a,1,CS(=O)(=O)c1cccc(c1)c1ccc(s1)c1cc(c(C#N)c(=O)n1Cc1ccc(F)cc1F)C(F)(F)F
MOL7_3,0,c1cc(cc(c1)C(F)(F)F)[C@H]2CN(CCO2)CCn3cncn3
MOL9_2,0,c1cc(oc1)c1nc([nH]n1)CNc1ccc2nnc(n2n1)C(F)F
MOL4,0,FC(c1cccc(Nc2cc(C)nc3n2nc(n3)C)c1)(F)F
MOL10,0,n1c(c(n(c2c(cccc2)F)n1)N)c1onc(n1)c1ccc(cc1)F
7_25a,0,O=C1N(C(=O)c2c1cccc2)c1ccccc1CCc1ccccc1
6_43,1,CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc(OC)cc2)ccc2c(cc(=O)oc12)C(F)(F)F
6_29,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(C)cc1)C(F)(F)F
7_24f,1,FC(F)(F)c1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
6_37,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)[N+](=O)[O-])C(F)(F)F
MOL3_3,0,CC(C)C[NH+]1CCN(C[C@@H]1CCO)Cc2ccc(cc2)C(F)(F)F
7_47b,0,COc1ccc(CCCc2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1
7_24a,1,Clc1c(Cl)c(Cl)c(Cl)c2c1C(=O)N(C2=O)c1ccccc1/C=C/c1ccccc1
6_28,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccccc1)C(F)(F)F
4_66,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(cc1)C(C)C)C(O)(C(F)(F)F)C(F)(F)F
4_59,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(CCC)(C1=O)c1ccc2OCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
4_68,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(CC)(C1=O)c1ccc(OC)cc1)C(O)(C(F)(F)F)C(F)(F)F
4_46,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OCC)cc1)C(O)(C(F)(F)F)C(F)(F)F
7_24j,1,COc1cccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)c1
5_28a,1,CCCc1c(Oc2cccc(CN3C(=O)NC(C)(C3=O)c3ccc(OC(C)C)cc3)c2)ccc(c1)C(O)(C(F)(F)F)C(F)(F)F
4_48,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC(F)(F)F)cc1)C(O)(C(F)(F)F)C(F)(F)F
4_49,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc2OCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
7_38b,1,COc1ccc(cc1)C#Cc1ccccc1N1C(=O)c2c(C1=O)c(Cl)c(Cl)c(Cl)c2Cl
4_69,1,CCCc1cc(cc(CCC)c1OCCCCN1C(=O)NC(CC)(C1=O)c1ccc2OCOc2c1)C(O)(C(F)(F)F)C(F)(F)F
4_52,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(Cl)cc1)C(O)(C(F)(F)F)C(F)(F)F
1_38,1,Cn1ccc2cccc(CNc3cccc(c3)c3c(nnc4c(Cl)cccc34)c3ccccc3)c12
6_27,0,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)N(C)C(C)(C1=O)c1ccccc1)C(F)(F)F
4_47,1,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccc(OC(C)C)cc1)C(O)(C(F)(F)F)C(F)(F)F
6_24,1,CCCc1cc2c(cc(=O)oc2c(CCC)c1OCCCCN1C(=O)C(C)N(C)C1=O)C(F)(F)F
4_43,0,CCCc1cc(ccc1OCCCCN1C(=O)NC(C)(C1=O)c1ccccc1OC)C(O)(C(F)(F)F)C(F)(F)F
MOL7,0,o1c(c2nc(CN3CC[C@H](CNc4ccc(C)cn4)C3)on2)ccc1
