FP,log_loss,C,solver,timestamp,MCC,TP,TN,random_state,classifier,FN,accuracy
0,0.6062092741500511,0.3,newton-cg,2018-07-12 14:55:16.325000,0.9309493362512627,14,13,9561999,LogisticRegression,1,0.9642857142857143
3,0.5955450644529562,0.3,lbfgs,2018-07-12 14:55:16.424000,0.6333004963811236,14,9,8164956,LogisticRegression,2,0.8214285714285714
7,0.6459792213413877,0.3,liblinear,2018-07-12 14:55:16.475000,0.40109031437471165,10,9,1436599,LogisticRegression,2,0.6785714285714286
4,0.6347753026663617,0.3,newton-cg,2018-07-12 15:06:08.083000,0.5012804118276031,11,10,5995544,LogisticRegression,3,0.75
2,0.603188843212156,0.6,lbfgs,2018-07-12 15:06:08.196000,0.7810706122033858,15,10,1841387,LogisticRegression,1,0.8928571428571429
4,0.635659976382568,0.3,liblinear,2018-07-12 15:06:08.248000,0.48553038055886144,13,8,2404485,LogisticRegression,3,0.75
4,0.4761360629350726,0.5,newton-cg,2018-07-12 15:41:53.848000,0.6243713415848884,16,7,5173532,LogisticRegression,1,0.8214285714285714
3,0.5860713945075754,0.6,lbfgs,2018-07-12 15:41:53.914000,0.49613893835683387,9,12,8298333,LogisticRegression,4,0.75
12,0.6349847082951582,0.3,liblinear,2018-07-12 15:41:53.959000,0.0,16,0,9239601,LogisticRegression,0,0.5714285714285714
3,0.4988116925656526,0.3,newton-cg,2018-07-12 15:42:16.996000,0.6445033866354896,12,11,9507757,LogisticRegression,2,0.8214285714285714
2,0.45641557781125114,0.3,lbfgs,2018-07-12 15:42:17.065000,0.7739827625318122,16,9,2765121,LogisticRegression,1,0.8928571428571429
10,0.6199352836726083,0.3,liblinear,2018-07-12 15:42:17.097000,0.0,18,0,2938277,LogisticRegression,0,0.6428571428571429
0,0.46437208445138634,0.3,newton-cg,2018-07-12 15:42:45.706000,0.693888666488711,13,10,1835582,LogisticRegression,5,0.8214285714285714
2,0.4809724529762037,0.3,lbfgs,2018-07-12 15:42:45.769000,0.7810706122033858,15,10,8899063,LogisticRegression,1,0.8928571428571429
12,0.6426086998306124,0.3,liblinear,2018-07-12 15:42:45.804000,0.0,16,0,5182223,LogisticRegression,0,0.5714285714285714
