smiles,fingerprints,LXRbeta binder
CC(C)(C)c1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1,"[2.5777144841151167, 2.935596482293284, 2.3075128612270435, 5.294065701535869, 2.2078119544027004, 4.410350832717592, 2.635460961676875, 4.771387956463639, 4.065529746509863, 4.14399246606641, 1.9436646389898382, 6.637685174535576, 2.697447646970647, 2.4771461496285547, 2.5075390734764436, 2.6383793786521945, 4.592732896210517, 3.7381979080686647, 3.343101866413572, 4.016719777331122, 4.85682677886208, 2.4872155276431305, 2.483005148863152, 2.249562372440549, 2.242910628178086, 2.6486984874078336, 2.268884038777166, 3.321891638215323, 2.5695072102139918, 3.9751820666656084, 3.036248048773584, 3.8629770573484827, 2.460942497158878, 2.0193101974022913, 2.4593532151052964, 3.585047191668237, 3.7352584786307315, 2.181581417103949, 2.447030385440324, 2.073020619080626, 2.315550174352304, 3.30233042188302, 2.2438096307597024, 3.0476918472729286, 4.228846900929516, 2.772355057949116, 5.582488088765185, 5.467125088279211, 5.0445615878510015, 4.0887502396931845]",0.0
CC(C)C[NH+]1CCN(C[C@@H]1CCO)Cc2ccc(cc2)C(F)(F)F,"[2.5425740732352144, 2.9182148876304246, 2.197617588505352, 3.619978677151161, 2.1678225997376845, 2.118082162057114, 1.7789926554108206, 2.1429466817606397, 2.0434364045535363, 3.6432379174850897, 1.6459762234326762, 4.059866524196702, 2.767930247298986, 2.0916388116158675, 1.7088327759000292, 2.6546365647439827, 2.1325739679409628, 1.9569952795306997, 3.3120254937949447, 1.932037671273243, 2.1580607109156786, 1.7142678286477246, 2.417299414544215, 1.6795141816831916, 2.126800134636479, 2.66415011803216, 2.3036409314028212, 3.2979683416204413, 1.6691428530192998, 2.4879567839254024, 3.068686856163276, 1.9977025916208175, 1.74864987027392, 1.9579160830321132, 2.381992527579324, 1.991008942926578, 3.6626941637088097, 2.0326119186995513, 1.7266643417433374, 1.76344960624903, 2.0102515116125703, 3.275013635917697, 2.1373135210764653, 1.835754127570965, 3.6174804183089995, 2.655550180147684, 2.2102683036330624, 2.2895991376949905, 2.095904999465906, 3.587268756892352]",0.0
CC(C)S(=O)(=O)c1cccc(Oc2cccc(c2)c2c(cnc3c(cccc23)C(F)(F)F)C(=O)N)c1,"[3.268900238099399, 3.97213834842621, 2.7664194514668736, 6.197203873234281, 2.706972325228643, 3.891375256328198, 2.525013715666884, 3.967122801988216, 3.5607563749122084, 5.748378220140724, 2.2947237755299583, 6.9026776333363085, 3.838053012088746, 3.1608478065692784, 2.627478470446443, 3.428689982830129, 3.832383665323494, 3.3611174246275946, 4.572246530076297, 3.0915886209258665, 3.768557887601582, 2.4360412660552266, 3.082573197411841, 2.279986829992626, 2.6456390430693477, 3.4537901741287804, 2.8288282514007577, 4.52759415590614, 2.549994441628124, 4.336225873670201, 4.507404758950409, 3.4176619443179463, 2.4184917537371304, 2.4490702898344967, 3.026876223170061, 3.471708988888491, 5.4607125026718935, 2.554250367160259, 2.4115210907449622, 2.291434462775007, 2.905155552380708, 4.792458938450055, 2.693583137171551, 2.9663968867850423, 5.715759347478152, 3.6929005003423043, 3.970942744091805, 4.290118053781974, 3.685771388285641, 5.654462420871722]",1.0
CCCCc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1,"[2.9791089485757074, 3.3736215655061224, 2.6362086569628334, 3.4214707494968217, 2.5431746612923662, 4.17782871484613, 2.770609941659507, 4.549406623631705, 4.056466423326674, 3.6577819963127842, 2.0875562979545723, 3.7219422900521737, 3.0614158536847054, 2.4082154791038617, 2.58325233501551, 3.069357748850614, 4.506318049809081, 3.7337705347874497, 3.8447063328814277, 4.136808565054759, 4.865798716229931, 2.610294856996708, 2.8526647342016034, 2.407994988924774, 2.5496947114762682, 3.0804868952901985, 2.6450495935456813, 3.820245769182267, 2.653815569015513, 3.091564148049624, 3.1423128739791664, 3.8720601718107193, 2.632342430051515, 2.3114271924578427, 2.8256225423346786, 3.458496587459371, 3.826362328502185, 2.4712004387480273, 2.604488652275087, 2.2790877818542024, 2.415991403016156, 3.401992655199799, 2.5616868079386053, 3.1072444417977136, 3.5240996798547877, 3.112362984709267, 5.571416957534952, 5.280112573457727, 5.078902208342125, 3.626157536958711]",0.0
CCCc1c(OCCCCN2C(=O)CN(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F,"[2.9108706225938716, 3.2521954954179586, 2.656358003241493, 4.192518821549749, 2.556019899292825, 3.3715946182526024, 2.554883184024743, 3.4541103855537783, 3.218975678437462, 4.223192081678886, 2.197376925830175, 4.313621322812679, 3.1962550350503403, 2.775449392269211, 2.5011533368132817, 2.982271267110171, 3.408310289894244, 3.058160797358866, 3.620647445830403, 2.9589577430686544, 3.4562908793130735, 2.4703023892430345, 2.8280197718343953, 2.3184905916896916, 2.6019717039210897, 2.9802600132918755, 2.675659235673433, 3.6238636500590093, 2.4892107759689956, 3.4788498408110438, 3.5313061453445016, 3.123355711623913, 2.4332648735620603, 2.3800378879197357, 2.7933333120678263, 3.067430070126199, 4.2285523425259015, 2.5111215652636427, 2.423291778012785, 2.297082629872542, 2.6393678415326165, 3.788227601934712, 2.5818955617480692, 2.7574359405704856, 4.080250155123693, 3.11262883493299, 3.588285110079639, 3.738148761090618, 3.3721109350731227, 4.227031743707906]",1.0
CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2C(CCOc12)C(F)(F)F,"[2.721308641705278, 3.034316677892713, 2.485109357725246, 5.189837133906091, 2.3868009180550613, 3.933941325096346, 2.5344356068954834, 4.141378897789372, 3.575276462439799, 4.402754412459133, 2.0611706170012773, 5.8005300832469935, 2.9382816404508936, 2.7000530257758424, 2.5426884068169633, 2.7777021147262295, 3.9219538535231164, 3.35023568718875, 3.3995341814884408, 3.1951221433670423, 3.8937772882446575, 2.437020398315926, 2.644363488805296, 2.2503474341567506, 2.45031236385893, 2.7823190793819763, 2.5022577676726847, 3.4020658759740314, 2.495499242544907, 3.9904729610504073, 3.3531476907931896, 3.411028781483684, 2.389811269088201, 2.2161086078833603, 2.615542948828286, 3.3778276939064202, 4.06888340338624, 2.3483183246707986, 2.3818305215307376, 2.169668813223151, 2.5053412859873765, 3.6141721056749865, 2.414270803982588, 2.9120388096545007, 4.376032528144728, 2.9024179979214852, 4.19943666629106, 4.5436815364445495, 3.858897306456035, 4.400675817092976]",1.0
CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F,"[2.656952104636169, 3.0335953893270764, 2.418264990008238, 5.883013307753626, 2.321834685187377, 4.0571331833279505, 2.5156993748974865, 4.234122581904043, 3.6310962527775272, 4.94949624853302, 2.092482458389197, 6.468322047829487, 3.0642786983240127, 2.923303963312545, 2.5931424531903153, 2.721944440018925, 3.9885737523072295, 3.415035023351632, 3.415317249359874, 3.1619456539977437, 3.9161297785743168, 2.4274200195929323, 2.5765676796099415, 2.2163902865163547, 2.3851870641920483, 2.729140545751276, 2.420944512252915, 3.41031832118685, 2.5293692669957535, 4.396479868280711, 3.7128485217452467, 3.466302377212205, 2.352301121331043, 2.172386396004344, 2.5423135718090606, 3.513290852408435, 4.486395244893662, 2.288551348704828, 2.34806812452234, 2.1307407921298798, 2.615376279089232, 3.9801094618010033, 2.3491748008313293, 2.973968520970742, 4.939665021782744, 2.950054187452697, 4.20649405627341, 4.61706589704496, 3.853636702943832, 4.947755519662426]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc(OC)cc2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.619623715396572, 4.327486805345661, 3.1535337163335475, 5.762371485624714, 3.0570094134908006, 4.243461433420744, 2.918350452751437, 4.344262901981095, 3.9556697735723114, 5.827156550794631, 2.5764176731439266, 6.033101171405424, 4.223467865153978, 3.4581516485767505, 2.9628033198922648, 3.7691723405070503, 4.227126368474554, 3.744112228804782, 4.972377115616337, 3.5040209589241167, 4.205903573452141, 2.814091881189511, 3.452642882531795, 2.6368762877928065, 3.049911918391811, 3.7913628309992755, 3.2129150382835627, 4.9415501527058385, 2.89719226952545, 4.47899160319996, 4.7815578217888195, 3.814614611675489, 2.792938500868148, 2.797506262920658, 3.3941225365866794, 3.811166571661074, 5.796222804991466, 2.9292563739878075, 2.777418840773449, 2.632627602453075, 3.2230998092158973, 5.111477726965977, 3.0596006838662264, 3.3160358515123627, 5.630106399048847, 4.039168944323306, 4.392618889688379, 4.675634348705864, 4.101193562411294, 5.762516479272325]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc3OCOc3c2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.685494645006206, 4.522451187555244, 3.186113721500376, 6.05111203196299, 3.098401759731128, 4.322101775486225, 2.912818235500397, 4.417249287535687, 3.9970528469039324, 6.15906325575513, 2.5988079555007375, 6.333083284107129, 4.432025743297643, 3.560540522898676, 2.995768950251027, 3.8531366223689756, 4.273596161181987, 3.7864917608234974, 5.24238779013742, 3.5061586609776274, 4.241264854672944, 2.808647166795161, 3.504530126809018, 2.623713976412532, 3.079178176788749, 3.8842751922177907, 3.2625362831707965, 5.2035190697469975, 2.911339108439851, 4.626619020903086, 5.02772176971214, 3.8550159185431383, 2.7811451872434416, 2.8341543683667014, 3.4363955256803065, 3.8789056123236625, 6.134957924609449, 2.9468362985894903, 2.765193259586265, 2.632272743742644, 3.299739230182748, 5.372145580013538, 3.0902960002382067, 3.3524827942917037, 5.92973926652172, 4.207526088912651, 4.424812218462723, 4.735484019366843, 4.125782494204907, 6.089914524968748]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccccc2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.400894034824878, 3.9046643651564947, 3.0001697164600514, 5.312441118122078, 2.9102032688540582, 4.174785642256539, 2.842109405890556, 4.275167118314026, 3.9043869846316497, 5.308923985643783, 2.497940821315735, 5.488000263637524, 3.8622351754360627, 3.3036654950116224, 2.8811778834273305, 3.512851405515973, 4.174208705891787, 3.6854152625448697, 4.419885127234322, 3.4626374937262216, 4.149224002475289, 2.741419214844985, 3.251080275411189, 2.57688062755282, 2.920231215198565, 3.523264265989869, 3.0522968762734433, 4.399269047774437, 2.8182853895547817, 4.292298408484593, 4.372683998473896, 3.758136554918935, 2.7336865788635283, 2.675302689265199, 3.216378203803093, 3.7338495417563644, 5.271977371902384, 2.8118317453381825, 2.72624026527839, 2.5569989032901415, 3.086717185032081, 4.677780558716208, 2.9213673141745256, 3.2403877048673624, 5.127357504155739, 3.713891565295004, 4.354391728126509, 4.623747092322665, 4.060705688791312, 5.290555208172945]",1.0
