smiles,fingerprints,LXRbeta binder
CC(C)(C)c1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1,"[2.568255462393046, 2.9118381748914635, 2.3088439639372837, 5.30755282916797, 2.2069894622986728, 4.41600771020239, 2.650291250663442, 4.7641071063589555, 4.076585405910466, 4.176412015427618, 1.9579727509603413, 6.378647914265822, 2.6978232841775656, 2.500131309175559, 2.540353414419277, 2.625637126995594, 4.602532584734407, 3.764507530530728, 3.3065761839304177, 4.001299867553116, 4.841846499338918, 2.5045410033927618, 2.478121260995663, 2.2644704582049466, 2.244987516258303, 2.6337237138564484, 2.267222543262137, 3.291049844369833, 2.590011967438484, 3.9982542158327723, 3.058448074984996, 3.884809620056656, 2.4750914031846554, 2.022953794637862, 2.4552693043834344, 3.612630915969537, 3.7526913834237807, 2.1858951680616996, 2.4640761141001355, 2.083041704741536, 2.3349750527910595, 3.3249636154850526, 2.2451778073084707, 3.078533389922892, 4.266036306492282, 2.7746361003927973, 5.525791392035135, 5.436572610976369, 5.007821890976166, 4.133989979131078]",0.0
CC(C)C[NH+]1CCN(C[C@@H]1CCO)Cc2ccc(cc2)C(F)(F)F,"[2.538250973033286, 2.901846604608597, 2.2018857093889874, 3.569200536807719, 2.171101464270584, 2.1276750119964696, 1.791083562244574, 2.1531521816545487, 2.0568679387818105, 3.619504225730118, 1.6588729135155655, 3.9499834459193552, 2.7730360952458346, 2.100936609665994, 1.724875895580595, 2.647226285941136, 2.1459235617668697, 1.9733214673221715, 3.2863667865769965, 1.9466857574169785, 2.1735848371608624, 1.72625976242988, 2.4157313157252807, 1.6911391322538305, 2.1332659861402385, 2.654556149201143, 2.3053432313310322, 3.277514666302695, 1.6810538283480132, 2.481737601261034, 3.0613772767322445, 2.013654204366236, 1.7606342018852015, 1.9655171702547864, 2.3818169533199, 2.0023918235954135, 3.651439155230966, 2.0399451526318324, 1.7395693014909202, 1.7735625894957128, 2.0259395657782457, 3.272814864369538, 2.14217106943146, 1.8509026386940328, 3.5782064943689296, 2.663523628140464, 2.223274310432911, 2.2980238336432257, 2.1094210237080127, 3.5678312048077543]",0.0
CC(C)S(=O)(=O)c1cccc(Oc2cccc(c2)c2c(cnc3c(cccc23)C(F)(F)F)C(=O)N)c1,"[3.2489989233494114, 3.988657249468206, 2.7357257152647536, 6.3700078493811345, 2.679751190973552, 3.8664767395083537, 2.488266885438273, 3.938615489107542, 3.525598801788263, 5.8405630673301845, 2.2666317516017545, 7.259501346347951, 3.8492949530015728, 3.1496971223414034, 2.598465127856421, 3.4146116893683502, 3.7986854567605346, 3.3284992895580956, 4.607156577556945, 3.0494901077503345, 3.7281799847422663, 2.400080183466314, 3.057365010803143, 2.244747531642983, 2.614037446333112, 3.442990024781662, 2.8027036969524604, 4.559832872025585, 2.5173365025864824, 4.355365260872851, 4.549398682715049, 3.3829421472506627, 2.3820775407763235, 2.4203530452696325, 3.0001008277769823, 3.4485222741807755, 5.518345600846461, 2.521020116352183, 2.3750786714855954, 2.2584631593008497, 2.8835851501437952, 4.835848786706336, 2.663190646757575, 2.936875311993697, 5.835934587376215, 3.696087419153801, 3.9280736977250177, 4.255773113522828, 3.6425318007604077, 5.738463571945908]",1.0
CCCCc1ccc(/C=C/c2ccccc2N2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)cc1,"[2.9675865573571567, 3.385455678389741, 2.6163843078275635, 3.447773654139785, 2.526486200338498, 4.184504695604982, 2.743854552679406, 4.561243920556207, 4.053214279323126, 3.6880692594366913, 2.0710093257208855, 3.755541553000079, 3.072143381391072, 2.401930634446203, 2.5684781658322735, 3.0623739054884913, 4.512561098178023, 3.7288603311620188, 3.8716967638715234, 4.141231091546594, 4.882120557025457, 2.5844628420381133, 2.836976990277119, 2.382493359511337, 2.5298013773438606, 3.0754078656808606, 2.6292256942467622, 3.844442297457548, 2.6337620459346947, 3.0933692099596843, 3.1608891605355964, 3.865872407127311, 2.6056792331443592, 2.294473860524494, 2.808601454685002, 3.456389275887707, 3.8547524633440426, 2.449665562642036, 2.5785900216283224, 2.256457439551167, 2.404851433452381, 3.4226074083276394, 2.542321367093909, 3.0976397305158803, 3.554315251923764, 3.1161687124851554, 5.616299490181439, 5.3022693248253905, 5.107316765906708, 3.6523780404519335]",0.0
CCCc1c(OCCCCN2C(=O)CN(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F,"[2.8992838801899774, 3.25924241911673, 2.638037508800575, 4.312953228328633, 2.539751532176161, 3.349186777313264, 2.526865441697793, 3.4277347233222613, 3.189838103446975, 4.313412532540651, 2.1782785105869023, 4.468191510642548, 3.2089629180964154, 2.774903437340308, 2.479620500387707, 2.97419008756991, 3.378854513693147, 3.0316686494841347, 3.638173576165004, 2.9244880132283346, 3.421767308906111, 2.443022044484621, 2.813142896603938, 2.2924462602786955, 2.5822850775649715, 2.973624697336219, 2.660347561581672, 3.6391601686019364, 2.4644516764596727, 3.4972186297487537, 3.5862707716348554, 3.094802232619687, 2.4057283057501704, 2.3622724378039437, 2.777439558067778, 3.0485281669970834, 4.294511717357282, 2.4901203106961014, 2.39572179874978, 2.2747050082075373, 2.626575793405224, 3.8421763854752475, 2.563545998961272, 2.7346080629145004, 4.182905507952214, 3.1135229563799327, 3.551071354947069, 3.706498397170431, 3.3350446048345894, 4.312846444381275]",1.0
CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2C(CCOc12)C(F)(F)F,"[2.728256475075907, 3.039123396150264, 2.4975241218916606, 5.183687755367102, 2.3985997103649055, 3.90677288474852, 2.543862930265126, 4.103995950445077, 3.5621443620163364, 4.426428798201014, 2.076321464548098, 5.6151926090122135, 2.9550545867342524, 2.713706585050276, 2.560269786082486, 2.7834594938465735, 3.9009853071254588, 3.349880640776572, 3.3997920865313, 3.181484237548746, 3.8725767643183184, 2.4485489929222055, 2.6533277667622714, 2.2631831274111294, 2.4633160790134445, 2.7862726498421764, 2.5135367968610423, 3.407071831726221, 2.5046713146266164, 3.9752413304249536, 3.3798220214874473, 3.408916279681767, 2.4002113461024663, 2.2302183852123725, 2.625214231684481, 3.3738758955772985, 4.093879141365763, 2.3624827885467408, 2.393581992089874, 2.18411349436781, 2.523739928199092, 3.6447172924919493, 2.42674398417687, 2.9192853462483703, 4.401407790380455, 2.9227710375378617, 4.1544204297586, 4.483706034173499, 3.8257642131548284, 4.430838532072178]",1.0
CCCc1c(OCCCCN2C(=O)N(C)C(C)(C)C2=O)ccc2c(cc(=O)oc12)C(F)(F)F,"[2.6419939203180496, 3.0349121914381474, 2.3972810770766766, 6.060039631946082, 2.3028679427332523, 4.029356458763242, 2.482081411832031, 4.202244348940765, 3.5932443768218327, 5.028194646442585, 2.070404316890375, 6.852846190462561, 3.0704334383055927, 2.9189930818473333, 2.566254668458349, 2.709939360335266, 3.9501316353523257, 3.3806555218237304, 3.4259691175732687, 3.1175682072663506, 3.86997895626948, 2.3949876066448907, 2.558637783217415, 2.1859757149683166, 2.3628922547187763, 2.7184623437348425, 2.4029451028864717, 3.4190258780827207, 2.4991067456704705, 4.428053476553926, 3.7506052574857676, 3.428693300542657, 2.319332781988693, 2.151739749927434, 2.5236929698523425, 3.4892833970682964, 4.5366198864885625, 2.2650432403819707, 2.3151359138357237, 2.1058627765019806, 2.5983209144675015, 4.019018240372807, 2.3283688074403557, 2.9452348673807225, 5.032974675676126, 2.945215598618451, 4.1589114609700815, 4.580312713169787, 3.805159749726884, 5.024996290728722]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc(OC)cc2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.6202406099580067, 4.301283701043107, 3.169914672058377, 5.689671337865761, 3.071116042147162, 4.241023290885916, 2.9451867392694755, 4.339270654723253, 3.9676203284472056, 5.7793082003943965, 2.603026358689986, 5.911510759902733, 4.221730071246775, 3.4706118111990487, 2.9952201600504447, 3.763976376947011, 4.235022882263132, 3.766842967831374, 4.925499315153995, 3.525119272208821, 4.220710634406811, 2.8416291396424107, 3.4589108725189206, 2.6648230638433645, 3.068676162132808, 3.782108923718204, 3.225114939920851, 4.903780755715664, 2.922254712201376, 4.462230398439927, 4.758537047565403, 3.8355773351041975, 2.8202971105437378, 2.817099203866133, 3.402884714223196, 3.823537229994302, 5.760092317345658, 2.9503703068130958, 2.8067027190707865, 2.658168692966681, 3.250367396542699, 5.095585097701719, 3.0764888634914294, 3.3424980550372316, 5.5676150269185305, 4.051857818110879, 4.394768180977849, 4.662332933557137, 4.109312180001141, 5.722472615341875]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccc3OCOc3c2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.685901177017908, 4.507424559787542, 3.1997277481035438, 5.998256497071228, 3.1108295672548163, 4.30246078971741, 2.933265061157873, 4.393579328376909, 3.9946068434045365, 6.1376971725902, 2.6220023313328857, 6.2435862450408495, 4.443482431915069, 3.571733554817034, 3.0213666347923414, 3.849321082510229, 4.264830450155931, 3.7968781251554633, 5.215891090386654, 3.5169404421527832, 4.241319889258797, 2.8299479227543314, 3.509322856599466, 2.6461010212203435, 3.094805849466732, 3.877458780028457, 3.273386700685875, 5.185886799901133, 2.9298102504464554, 4.601442539709834, 5.024790668689439, 3.863096606542428, 2.8025901960740933, 2.8517807738869387, 3.443431026396107, 3.878775230913456, 6.125320362523364, 2.964484424588482, 2.7882896648996254, 2.653249309997114, 3.325633625505949, 5.378691265040483, 3.104526444742105, 3.3697441404061643, 5.894544790829745, 4.229411237641956, 4.410092909437237, 4.701749713097091, 4.11855573731924, 6.07197812865635]",1.0
CCCc1c(OCCCCN2C(=O)NC(C)(C2=O)c2ccccc2)ccc2c(cc(=O)oc12)C(F)(F)F,"[3.381234652423795, 3.9100981047284478, 2.9718335278694017, 5.485913323952281, 2.8846880461059214, 4.148281135887648, 2.8037833293804955, 4.244127325455402, 3.867833417699605, 5.434877981816152, 2.469627137195669, 5.709957689876813, 3.8743699015604887, 3.3009227831444328, 2.8515761719273702, 3.4974801454136406, 4.138392214654435, 3.6515617196769115, 4.438548376164955, 3.417948794072815, 4.106367012444162, 2.704009445470369, 3.227258544805629, 2.540583800620065, 2.890341308395416, 3.510117744152248, 3.027761624096149, 4.415197376990273, 2.784557024672069, 4.319523251568239, 4.44647320253329, 3.721934544069389, 2.695645957998306, 2.647792627187302, 3.1913791358755708, 3.709914508676227, 5.360504868541102, 2.7802879871910435, 2.68826811049457, 2.5244739284927533, 3.0664543867493608, 4.75015406738337, 2.8931755543666884, 3.20993351471591, 5.272384681662578, 3.71117267958436, 4.309192332189573, 4.587227407178677, 4.014725408771499, 5.410132184117127]",1.0
