"accuracy","log_loss","classifier","TN","FP","TP","FN","random_state","max_depth","n_estimators","timestamp","kernel","C","gamma","MCC","n_jobs","target","f1","class_weight","probability"
"0.969298246","0.519061046","RandomForestClassifier","208","4","13","3","4797594","1","1","10:13.5","","","","0.771758543","-1","0.787878788","0.787878788","balanced_subsample",""
"0.912280702","0.273408528","RandomForestClassifier","193","19","15","1","1586825","1","1","10:13.5","","","","0.60802388","-1","0.6","0.6","balanced_subsample",""
"0.978070175","0.139481894","RandomForestClassifier","207","5","16","0","4094553","1","1","10:13.5","","","","0.862516846","-1","0.864864865","0.864864865","balanced_subsample",""
"0.969162996","0.136676124","RandomForestClassifier","206","5","14","2","3720047","1","1","10:13.5","","","","0.786823055","-1","0.8","0.8","balanced_subsample",""
"0.947136564","0.211298354","RandomForestClassifier","201","10","14","2","3741745","1","1","10:13.5","","","","0.688924362","-1","0.7","0.7","balanced_subsample",""
"0.969298246","0.136527561","RandomForestClassifier","205","7","16","0","6342220","1","1","10:35.1","","","","0.820172254","-1","0.820512821","0.820512821","balanced_subsample",""
"0.978070175","0.1233163","RandomForestClassifier","208","4","15","1","8564364","1","1","10:35.1","","","","0.849023251","-1","0.857142857","0.857142857","balanced_subsample",""
"0.964912281","0.169826948","RandomForestClassifier","207","5","13","3","287191","1","1","10:35.1","","","","0.747329778","-1","0.764705882","0.764705882","balanced_subsample",""
"0.969162996","0.142704572","RandomForestClassifier","205","6","15","1","5214562","1","1","10:35.1","","","","0.803068168","-1","0.810810811","0.810810811","balanced_subsample",""
"0.977973568","0.070147947","RandomForestClassifier","206","5","16","0","915052","1","1","10:35.1","","","","0.862467476","-1","0.864864865","0.864864865","balanced_subsample",""
"0.995614035","0.152487947","RandomForestClassifier","212","0","15","1","6448935","1","1","11:49.7","","","","0.965970285","-1","0.967741935","0.967741935","balanced_subsample",""
"0.973684211","0.12729883","RandomForestClassifier","206","6","16","0","1886175","1","1","11:49.7","","","","0.840648284","-1","0.842105263","0.842105263","balanced_subsample",""
"0.99122807","0.021817636","RandomForestClassifier","212","0","14","2","6871989","11","11","11:49.7","","","","0.931032991","-1","0.933333333","0.933333333","balanced_subsample",""
"0.982378855","0.6086128","RandomForestClassifier","207","4","16","0","2514516","11","1","11:49.7","","","","0.885908643","-1","0.888888889","0.888888889","balanced_subsample",""
"0.964757709","1.2172256","RandomForestClassifier","207","4","12","4","7908624","11","1","11:49.7","","","","0.731042654","-1","0.75","0.75","balanced_subsample",""
"0.956140351","0.153071606","RandomForestClassifier","202","10","16","0","4242417","1","1","12:49.3","","","","0.765739537","-1","0.761904762","0.761904762","balanced_subsample",""
"0.99122807","0.059757114","RandomForestClassifier","210","2","16","0","5717790","1","11","12:49.3","","","","0.938351291","-1","0.941176471","0.941176471","balanced_subsample",""
"0.986842105","0.080031809","RandomForestClassifier","209","3","16","0","7221989","1","11","12:49.3","","","","0.911146903","-1","0.914285714","0.914285714","balanced_subsample",""
"0.977973568","0.102727157","RandomForestClassifier","208","3","14","2","447550","1","1","12:49.3","","","","0.83706712","-1","0.848484848","0.848484848","balanced_subsample",""
"0.960352423","0.193842262","RandomForestClassifier","204","7","14","2","7618203","1","1","12:49.3","","","","0.743668861","-1","0.756756757","0.756756757","balanced_subsample",""
"0.986842105","0.454457584","RandomForestClassifier","210","2","15","1","1094121","21","1","17:03.4","","","","0.90248733","-1","0.909090909","0.909090909","balanced_subsample",""
"0.978070175","0.757429307","RandomForestClassifier","208","4","15","1","2275944","11","1","17:03.4","","","","0.849023251","-1","0.857142857","0.857142857","balanced_subsample",""
"0.969298246","0.054960072","RandomForestClassifier","207","5","14","2","885266","11","11","17:03.4","","","","0.786899598","-1","0.8","0.8","balanced_subsample",""
"0.986784141","0.071756815","RandomForestClassifier","209","2","15","1","2034591","1","11","17:03.4","","","","0.902453987","-1","0.909090909","0.909090909","balanced_subsample",""
"0.982378855","0.082499841","RandomForestClassifier","207","4","16","0","970295","1","41","17:03.4","","","","0.885908643","-1","0.888888889","0.888888889","balanced_subsample",""
"0.995614035","0.019932839","SVC","211","1","16","0","4889499","","","24:39.0","rbf","0.9","0.03","0.967851724","","0.96969697","0.96969697","balanced","TRUE"
