random_state,solver,train_acc,hidden_layer_sizes,classifier,accuracy,distribution
6969,lbfgs,0.9007976,10,MLPClassifier,0.778388278,
3516,lbfgs,0.884968229,20,MLPClassifier,0.778388278,
1613,lbfgs,0.898435796,30,MLPClassifier,0.793296703,
2290,lbfgs,0.888898988,40,MLPClassifier,0.778461538,
1402,lbfgs,0.887381127,50,MLPClassifier,0.79996337,
7115,lbfgs,0.889749481,60,MLPClassifier,0.785054945,
5871,lbfgs,0.897641945,70,MLPClassifier,0.807582418,
5622,lbfgs,0.881793726,80,MLPClassifier,0.792197802,
2169,lbfgs,0.892923885,90,MLPClassifier,0.786556777,
1688,lbfgs,0.896848194,100,MLPClassifier,0.815274725,
2287,adam,0.585716385,10,MLPClassifier,0.585934066,
7148,adam,0.546133933,20,MLPClassifier,0.525641026,
9918,adam,0.585716385,30,MLPClassifier,0.585934066,
4546,adam,0.585716385,40,MLPClassifier,0.585934066,
5829,adam,0.326199375,50,MLPClassifier,0.303919414,
809,adam,0.58887849,60,MLPClassifier,0.585934066,
2552,adam,0.486564479,70,MLPClassifier,0.48,
4309,adam,0.585716385,80,MLPClassifier,0.585934066,
8008,adam,0.776141432,90,MLPClassifier,0.748168498,
4264,adam,0.570196825,100,MLPClassifier,0.547948718,
2902,sgd,0.585716385,10,MLPClassifier,0.585934066,
3950,sgd,0.585716385,20,MLPClassifier,0.585934066,
7605,sgd,0.665789426,30,MLPClassifier,0.657216117,
1674,sgd,0.76663607,40,MLPClassifier,0.755311355,
8258,sgd,0.585716385,50,MLPClassifier,0.585934066,
8459,sgd,0.585716385,60,MLPClassifier,0.585934066,
1122,sgd,0.76584242,70,MLPClassifier,0.762454212,
5432,sgd,0.585716385,80,MLPClassifier,0.585934066,
3958,sgd,0.585716385,90,MLPClassifier,0.585934066,
7371,sgd,0.585716385,100,MLPClassifier,0.585934066,
7793,lbfgs,0.8991978,10,MLPClassifier,0.815274725,"[0.73333333 0.66666667 1.         0.85714286 0.92857143 1.
 0.78571429 0.64285714 0.61538462 0.92307692]"
1440,lbfgs,0.887387377,20,MLPClassifier,0.777912088,"[0.73333333 0.66666667 1.         0.71428571 0.92857143 1.
 0.78571429 0.64285714 0.61538462 0.69230769]"
5809,lbfgs,0.884930834,30,MLPClassifier,0.779413919,"[0.6        0.66666667 0.92857143 0.85714286 0.92857143 1.
 0.78571429 0.64285714 0.61538462 0.76923077]"
2106,lbfgs,0.895260992,40,MLPClassifier,0.793296703,"[0.73333333 0.66666667 1.         0.85714286 0.92857143 1.
 0.64285714 0.64285714 0.61538462 0.84615385]"
1592,lbfgs,0.897654443,50,MLPClassifier,0.793846154,"[0.73333333 0.66666667 0.92857143 0.71428571 0.92857143 1.
 0.78571429 0.64285714 0.69230769 0.84615385]"
5150,lbfgs,0.903216648,60,MLPClassifier,0.785054945,"[0.73333333 0.66666667 1.         0.71428571 0.92857143 1.
 0.85714286 0.64285714 0.61538462 0.69230769]"
2095,lbfgs,0.900841745,70,MLPClassifier,0.77996337,"[0.6        0.66666667 1.         0.71428571 0.92857143 1.
 0.78571429 0.64285714 0.61538462 0.84615385]"
1164,lbfgs,0.88816198,80,MLPClassifier,0.786153846,"[0.73333333 0.66666667 1.         0.71428571 0.92857143 1.
 0.71428571 0.64285714 0.61538462 0.84615385]"
9629,lbfgs,0.890467442,90,MLPClassifier,0.772820513,"[0.6        0.66666667 0.92857143 0.71428571 0.92857143 1.
 0.85714286 0.57142857 0.61538462 0.84615385]"
2397,lbfgs,0.89287994,100,MLPClassifier,0.786153846,"[0.73333333 0.66666667 1.         0.71428571 0.92857143 1.
 0.71428571 0.64285714 0.61538462 0.84615385]"
4016,adam,0.710297963,10,MLPClassifier,0.691172161,"[0.46666667 1.         0.78571429 0.71428571 1.         0.85714286
 0.42857143 0.42857143 0.53846154 0.69230769]"
7230,adam,0.770585577,20,MLPClassifier,0.762454212,"[0.73333333 0.6        0.78571429 1.         1.         0.85714286
 0.78571429 0.78571429 0.46153846 0.61538462]"
