smiles,fingerprints
C#CCN1C2=C(C(=O)CCC2)[C@@]3(C1=O)c4ccccc4OC(=C3C#N)N,"[2.1672839199276943, 2.534925716918524, 1.9353473660982603, 3.6097144529047887, 1.8750683790045048, 3.491046977218617, 2.040587317025064, 3.730433316614041, 3.0831437096714662, 3.4646453793476555, 1.6519086244652774, 3.579452772728648, 2.4352524508131532, 2.143527452275734, 2.0651535514396246, 2.225131552362613, 3.46196943808298, 2.8577291302015255, 2.9120247275015476, 2.6952673201353363, 3.395660301427447, 1.9567560851867452, 2.085105081336667, 1.7905875203562482, 1.9077141624475942, 2.239258105496141, 1.9562689014455632, 2.898452909788712, 2.0258443162320345, 3.153185518340365, 2.7160981940696245, 2.9244381567914433, 1.9171599016784244, 1.7393055819032068, 2.0637333889080134, 2.8808975986320395, 3.362250095582901, 1.8294239964163457, 1.9226795262620824, 1.70639167516423, 2.0196732377972055, 2.9132713524795184, 1.8927819136382018, 2.4197940044737267, 3.273169080800565, 2.399554492120449, 3.701967711505588, 4.109035106082992, 3.36722637728405, 3.4727021516148224]"
C#CCN1C2=C(C(=O)CCC2)[C@]3(C1=O)c4ccccc4OC(=C3C#N)N,"[2.1672839199276943, 2.534925716918524, 1.9353473660982603, 3.6097144529047887, 1.8750683790045048, 3.491046977218617, 2.040587317025064, 3.730433316614041, 3.0831437096714662, 3.4646453793476555, 1.6519086244652774, 3.579452772728648, 2.4352524508131532, 2.143527452275734, 2.0651535514396246, 2.225131552362613, 3.46196943808298, 2.8577291302015255, 2.9120247275015476, 2.6952673201353363, 3.395660301427447, 1.9567560851867452, 2.085105081336667, 1.7905875203562482, 1.9077141624475942, 2.239258105496141, 1.9562689014455632, 2.898452909788712, 2.0258443162320345, 3.153185518340365, 2.7160981940696245, 2.9244381567914433, 1.9171599016784244, 1.7393055819032068, 2.0637333889080134, 2.8808975986320395, 3.362250095582901, 1.8294239964163457, 1.9226795262620824, 1.70639167516423, 2.0196732377972055, 2.9132713524795184, 1.8927819136382018, 2.4197940044737267, 3.273169080800565, 2.399554492120449, 3.701967711505588, 4.109035106082992, 3.36722637728405, 3.4727021516148224]"
C#CCN1c2ccccc2[C@@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N,"[2.158378663347915, 2.4872712590155563, 1.9375862426881232, 3.467839482022913, 1.8771692906857758, 3.538274317340181, 2.0820848514831796, 3.7987071440847875, 3.1546674342070533, 3.336263876675197, 1.6566806555086047, 3.4588255926548546, 2.3807869601760547, 2.1153761808100686, 2.087358030469854, 2.2114969587580933, 3.5469775670920907, 2.916686404205586, 2.8396499601201173, 2.8024688599738155, 3.512444093157523, 1.992572943867732, 2.080498551374292, 1.8200295250908414, 1.913932612111757, 2.2228361339390976, 1.9559285703207268, 2.8291007948352696, 2.061536097449628, 3.072834333131266, 2.637086496109866, 2.992446195465317, 1.9541028703982795, 1.7422873678310253, 2.060318064491905, 2.8996541510797504, 3.2508870676072092, 1.8367844782192195, 1.9582342042720908, 1.7212930640986377, 2.0049099764954756, 2.829073552062478, 1.8959738158321287, 2.4547234843070793, 3.162312963260103, 2.359597476461979, 3.854385024641583, 4.212560053609578, 3.5077418270347933, 3.3493644801235485]"
C#CCN1c2ccccc2[C@]3(C1=O)C(=C(OC4=C3C(=O)CCC4)N)C#N,"[2.158378663347915, 2.4872712590155563, 1.9375862426881232, 3.467839482022913, 1.8771692906857758, 3.538274317340181, 2.0820848514831796, 3.7987071440847875, 3.1546674342070533, 3.336263876675197, 1.6566806555086047, 3.4588255926548546, 2.3807869601760547, 2.1153761808100686, 2.087358030469854, 2.2114969587580933, 3.5469775670920907, 2.916686404205586, 2.8396499601201173, 2.8024688599738155, 3.512444093157523, 1.992572943867732, 2.080498551374292, 1.8200295250908414, 1.913932612111757, 2.2228361339390976, 1.9559285703207268, 2.8291007948352696, 2.061536097449628, 3.072834333131266, 2.637086496109866, 2.992446195465317, 1.9541028703982795, 1.7422873678310253, 2.060318064491905, 2.8996541510797504, 3.2508870676072092, 1.8367844782192195, 1.9582342042720908, 1.7212930640986377, 2.0049099764954756, 2.829073552062478, 1.8959738158321287, 2.4547234843070793, 3.162312963260103, 2.359597476461979, 3.854385024641583, 4.212560053609578, 3.5077418270347933, 3.3493644801235485]"
C(C(=O)N)n1c(nc(n1)[N+](=O)[O-])c2nc(nn2CC(=O)N)[N+](=O)[O-],"[1.9721754472732003, 2.099357688501007, 1.9278361427440536, 2.6440688552954055, 1.8135909462019582, 3.126640698236586, 2.2878520574247214, 3.279979858435886, 2.9896200808169184, 2.6755376027678084, 1.760488827683582, 2.4774671888931965, 2.0840891544926636, 2.122379402329754, 2.185269619217142, 1.9693174211204418, 3.227181064642552, 2.808999377876347, 2.250902885724958, 2.815230494307756, 3.341963584903063, 2.210242904746721, 1.992210706485873, 2.007914125832597, 1.9169055613168258, 1.9648961745252267, 1.8579650193310135, 2.280673728812064, 2.2486485063430646, 2.7588472374654267, 2.2296095702076593, 2.8891316501185575, 2.131414769615383, 1.7537357389260384, 1.973811352684551, 2.713839999712611, 2.6698698123862727, 1.8862617782440823, 2.1371458014783573, 1.8519077623980527, 2.0486176680942214, 2.4087208555190194, 1.8905860516862658, 2.4631591770247425, 2.5032393895429115, 2.126450301733072, 3.5286474090891478, 3.654425256700023, 3.306493678264961, 2.7346796128262563]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@@H]2C1=O)/N,"[2.366041903059198, 2.574015808271149, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.4272595093657725, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)/N,"[2.366041903059198, 2.5740158082711497, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.427259509365773, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
C/C(=C(/C#N)\C(=O)COC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)/N,"[2.366041903059198, 2.5740158082711497, 2.2327956764683465, 2.7212459281187895, 2.1393150532916794, 2.460626473936162, 2.2143188355370267, 2.5238200683951395, 2.463133247704964, 2.9012737735904195, 1.8351924827614414, 2.8808344307982527, 2.427259509365773, 2.0749293827334667, 2.0236679744372688, 2.3872585663585966, 2.564739892762179, 2.347453245359476, 2.8882455823052, 2.3924674571301763, 2.696948608855995, 2.150662102293751, 2.3399396103261436, 2.021719695958848, 2.2131655831616173, 2.38162783855983, 2.229991980736137, 2.903432266435829, 2.0913855054138217, 2.398165816288106, 2.498665384067914, 2.4081081069065435, 2.0846609370593128, 2.0210848764200224, 2.315131262316467, 2.274010591633754, 2.9997612212257456, 2.142493210442619, 2.089402154321016, 1.9905778921780581, 2.0841942067921417, 2.6981606501900908, 2.1809473754920585, 2.161534356672572, 2.7707532228928207, 2.4330214302619186, 2.7502304953036267, 2.759065130567794, 2.609691136585577, 2.882832058255158]"
